day_of_week,avg_views,avg_engagement_rate,avg_like_rate,avg_comment_rate,total_views
Sun,93.53106256941567,1.3075027526798573,1.2511614844091932,0.05634126827066168,2526274
Mon,108.46478666372718,1.2625561879660352,1.2016431356059443,0.06091305236000327,2953930
Tue,110.98716970159288,1.34638700824029,1.2797582084665236,0.06662879977378992,3053590
Wed,113.51255313737427,1.2166174059554995,1.149262197039532,0.06735520891614039,3124206
Thu,116.48539472255774,1.504886339219307,1.3802699200289406,0.12461641919035606,3218142
Fri,116.45902110978948,1.174641678011487,1.1158902804452995,0.058751397566190654,3238376
Sat,101.37394153596702,1.2862637573609985,1.2303307303220212,0.055933027038946204,2753519
